"PE-Cer(d14:1(4E)/25:0)","C41H83N2O6P"
"TG(20:4(8Z,11Z,14Z,17Z)/18:2(9Z,11E)/22:5(4Z,7Z,10Z,13Z,16Z))","C63H100O6"
"TG(20:5(5Z,8Z,11Z,14Z,17Z)/24:6(6Z,9Z,12Z,15Z,18Z,21Z)/16:0)","C63H100O6"
"TG(22:5(7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z)/20:3(11Z,14Z,17Z))","C63H100O6"
"TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:1(6Z)/22:4(7Z,10Z,13Z,16Z))","C63H100O6"
"TG(20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z)/20:5(5Z,8Z,11Z,14Z,17Z))","C63H100O6"
"TG(22:4(7Z,10Z,13Z,16Z)/18:4(6Z,9Z,12Z,15Z)/20:3(11Z,14Z,17Z))","C63H100O6"
"TG(15:0/18:3(6Z,9Z,12Z)/26:1(17Z))","C62H112O6"
"TG(20:4(5Z,8Z,11Z,14Z)/17:0/22:0)","C62H112O6"
"TG(22:4(7Z,10Z,13Z,16Z)/13:0/24:0)","C62H112O6"
"TG(18:2(9Z,11E)/19:0/22:2(13Z,16Z))","C62H112O6"
"TG(13:0/22:3(10Z,13Z,16Z)/24:1(15Z))","C62H112O6"
"TG(24:4(9Z,12Z,15Z,18Z)/22:0/13:0)","C62H112O6"
"TG(26:1(17Z)/18:3(6Z,9Z,12Z)/15:0)","C62H112O6"
"TG(O-20:0/22:3(10Z,13Z,16Z)/18:1(11Z))","C63H116O5"
"TG(O-20:0/18:2(9Z,12Z)/22:2(13Z,16Z))","C63H116O5"
"TG(O-20:0/18:1(6Z)/22:3(10Z,13Z,16Z))","C63H116O5"
"TG(O-20:1(11Z)/18:1(11Z)/22:2(13Z,16Z))","C63H116O5"
"TG(O-20:0/18:4(6Z,9Z,12Z,15Z)/22:0)","C63H116O5"
"TG(O-20:0/24:4(9Z,12Z,15Z,18Z)/16:0)","C63H116O5"
"TG(O-18:1(9Z)/22:1(13Z)/20:2(11Z,14Z))","C63H116O5"
"TG(O-20:1(11Z)/16:2(9Z,12Z)/24:1(15Z))","C63H116O5"
"TG(O-20:1(11Z)/18:2(9Z,12Z)/22:1(13Z))","C63H116O5"
"TG(O-22:1(13Z)/18:0/20:3(11Z,14Z,17Z))","C63H116O5"
"TG(O-22:1(13Z)/16:2(9Z,12Z)/22:1(13Z))","C63H116O5"
"TG(20:5(5Z,8Z,11Z,14Z,17Z)/22:2(13Z,16Z)/18:3(9Z,12Z,15Z))","C63H102O6"
"TG(20:5(5Z,8Z,11Z,14Z,17Z)/22:3(10Z,13Z,16Z)/18:2(9Z,12Z))","C63H102O6"
"TG(16:0/24:5(9Z,12Z,15Z,18Z,21Z)/20:5(5Z,8Z,11Z,14Z,17Z))","C63H102O6"
"TG(20:3(11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z)/18:3(9Z,12Z,15Z))","C63H102O6"
"TG(20:3(11Z,14Z,17Z)/24:5(6Z,9Z,12Z,15Z,18Z)/16:2(9Z,12Z))","C63H102O6"
"TG(18:4(6Z,9Z,12Z,15Z)/22:5(4Z,7Z,10Z,13Z,16Z)/20:1(11Z))","C63H102O6"
"TG(20:4(8Z,11Z,14Z,17Z)/18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))","C63H102O6"
"TG(20:4(8Z,11Z,14Z,17Z)/18:1(6Z)/22:5(7Z,10Z,13Z,16Z,19Z))","C63H102O6"
"TG(20:5(5Z,8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z)/18:0)","C63H102O6"
"TG(22:5(7Z,10Z,13Z,16Z,19Z)/18:1(6Z)/20:4(5Z,8Z,11Z,14Z))","C63H102O6"
"TG(24:5(9Z,12Z,15Z,18Z,21Z)/18:3(6Z,9Z,12Z)/18:2(9Z,12Z))","C63H102O6"
"TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0/22:4(7Z,10Z,13Z,16Z))","C63H102O6"
"TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:3(8Z,11Z,14Z)/18:1(11E))","C63H102O6"
"TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z)/20:3(8Z,11Z,14Z))","C63H102O6"
"TG(24:6(6Z,9Z,12Z,15Z,18Z,21Z)/18:3(6Z,9Z,12Z)/18:1(11E))","C63H102O6"
"TG(16:2(9Z,12Z)/20:3(8Z,11Z,14Z)/24:5(6Z,9Z,12Z,15Z,18Z))","C63H102O6"
"TG(18:2(9Z,12Z)/24:5(6Z,9Z,12Z,15Z,18Z)/18:3(9Z,12Z,15Z))","C63H102O6"
"TG(18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z)/22:4(7Z,10Z,13Z,16Z))","C63H102O6"
"TG(20:3(8Z,11Z,14Z)/20:3(11Z,14Z,17Z)/20:4(8Z,11Z,14Z,17Z))","C63H102O6"
"TG(20:3(8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(11E))","C63H102O6"
"TG(20:3(8Z,11Z,14Z)/22:4(7Z,10Z,13Z,16Z)/18:3(6Z,9Z,12Z))","C63H102O6"
"TG(22:4(7Z,10Z,13Z,16Z)/16:1(6Z)/22:5(4Z,7Z,10Z,13Z,16Z))","C63H102O6"
"TG(24:4(9Z,12Z,15Z,18Z)/16:1(6Z)/20:5(5Z,8Z,11Z,14Z,17Z))","C63H102O6"
"TG(22:5(4Z,7Z,10Z,13Z,16Z)/20:4(8Z,11Z,14Z,17Z)/18:1(11Z))","C63H102O6"
"TG(22:5(4Z,7Z,10Z,13Z,16Z)/20:3(8Z,11Z,14Z)/18:2(9Z,12Z))","C63H102O6"
"TG(24:5(6Z,9Z,12Z,15Z,18Z)/20:4(5Z,8Z,11Z,14Z)/16:1(6Z))","C63H102O6"
"TG(16:1(9Z)/20:4(8Z,11Z,14Z,17Z)/24:5(6Z,9Z,12Z,15Z,18Z))","C63H102O6"
"TG(18:1(11Z)/18:4(6Z,9Z,12Z,15Z)/24:5(6Z,9Z,12Z,15Z,18Z))","C63H102O6"
"TG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z)/22:5(7Z,10Z,13Z,16Z,19Z))","C63H102O6"
"TG(18:1(11E)/22:5(7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z))","C63H102O6"
"TG(18:1(9Z)/24:6(6Z,9Z,12Z,15Z,18Z,21Z)/18:3(6Z,9Z,12Z))","C63H102O6"
"TG(18:1(6Z)/22:5(7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z))","C63H102O6"
"TG(O-15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/24:4(9Z,12Z,15Z,18Z))","C64H106O5"
"TG(13:0/28:0/18:3(9Z,12Z,15Z))","C62H114O6"
"TG(19:0/22:0/18:3(9Z,12Z,15Z))","C62H114O6"
"TG(22:2(13Z,16Z)/22:1(13Z)/15:0)","C62H114O6"
"TG(22:2(13Z,16Z)/13:0/24:1(15Z))","C62H114O6"
"TG(20:2(11Z,14Z)/21:0/18:1(9Z))","C62H114O6"
"TG(18:1(11E)/21:0/20:2(11Z,14Z))","C62H114O6"
"TG(24:1(15Z)/17:0/18:2(9Z,11E))","C62H114O6"
"TG(18:2(9Z,11E)/26:1(17Z)/15:0)","C62H114O6"
"TG(22:2(13Z,16Z)/18:1(11Z)/19:0)","C62H114O6"
"TG(15:0/22:3(10Z,13Z,16Z)/22:0)","C62H114O6"
"TG(18:3(6Z,9Z,12Z)/28:0/13:0)","C62H114O6"
"TG(26:1(17Z)/18:2(9Z,12Z)/15:0)","C62H114O6"
"TG(26:1(17Z)/15:0/18:2(9Z,12Z))","C62H114O6"
"TG(O-22:1(13Z)/16:0/22:2(13Z,16Z))","C63H118O5"
"TG(O-22:1(13Z)/24:1(15Z)/14:1(9Z))","C63H118O5"
"TG(O-18:2(9Z,12Z)/26:0/16:1(9Z))","C63H118O5"
"TG(O-18:2(9Z,12Z)/16:1(9Z)/26:0)","C63H118O5"
"TG(22:3(10Z,13Z,16Z)/18:3(6Z,9Z,12Z)/20:3(11Z,14Z,17Z))","C63H104O6"
"TG(16:2(9Z,12Z)/22:3(10Z,13Z,16Z)/22:4(7Z,10Z,13Z,16Z))","C63H104O6"
"TG(20:2(11Z,14Z)/22:3(10Z,13Z,16Z)/18:4(6Z,9Z,12Z,15Z))","C63H104O6"
"TG(18:3(6Z,9Z,12Z)/22:2(13Z,16Z)/20:4(8Z,11Z,14Z,17Z))","C63H104O6"
"TG(18:0/24:5(9Z,12Z,15Z,18Z,21Z)/18:4(6Z,9Z,12Z,15Z))","C63H104O6"
"TG(18:3(9Z,12Z,15Z)/18:0/24:6(6Z,9Z,12Z,15Z,18Z,21Z))","C63H104O6"
"TG(18:3(9Z,12Z,15Z)/22:4(7Z,10Z,13Z,16Z)/20:2(11Z,14Z))","C63H104O6"
"TG(20:3(11Z,14Z,17Z)/18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))","C63H104O6"
"TG(18:4(6Z,9Z,12Z,15Z)/20:4(8Z,11Z,14Z,17Z)/22:1(13Z))","C63H104O6"
"TG(22:5(7Z,10Z,13Z,16Z,19Z)/20:3(11Z,14Z,17Z)/18:1(9Z))","C63H104O6"
"TG(18:2(9Z,12Z)/18:1(11Z)/24:6(6Z,9Z,12Z,15Z,18Z,21Z))","C63H104O6"
"TG(20:3(8Z,11Z,14Z)/20:3(8Z,11Z,14Z)/20:3(11Z,14Z,17Z))","C63H104O6"
"TG(22:4(7Z,10Z,13Z,16Z)/20:4(8Z,11Z,14Z,17Z)/18:1(11E))","C63H104O6"
"TG(24:4(9Z,12Z,15Z,18Z)/18:1(6Z)/18:4(6Z,9Z,12Z,15Z))","C63H104O6"
"TG(18:2(9Z,11E)/24:6(6Z,9Z,12Z,15Z,18Z,21Z)/18:1(6Z))","C63H104O6"
"TG(18:2(9Z,11E)/18:1(9Z)/24:6(6Z,9Z,12Z,15Z,18Z,21Z))","C63H104O6"
"TG(18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z)/20:3(11Z,14Z,17Z))","C63H104O6"
"TG(18:1(11Z)/24:4(9Z,12Z,15Z,18Z)/18:4(6Z,9Z,12Z,15Z))","C63H104O6"
"TG(16:1(6Z)/24:5(6Z,9Z,12Z,15Z,18Z)/20:3(11Z,14Z,17Z))","C63H104O6"
"TG(18:1(6Z)/20:3(8Z,11Z,14Z)/22:5(7Z,10Z,13Z,16Z,19Z))","C63H104O6"
"TG(O-15:0/22:4(7Z,10Z,13Z,16Z)/24:5(9Z,12Z,15Z,18Z,21Z))","C64H108O5"
"TG(20:0/22:2(13Z,16Z)/17:0)","C62H116O6"
"TG(28:0/15:0/16:2(9Z,12Z))","C62H116O6"
"TG(18:2(9Z,12Z)/19:0/22:0)","C62H116O6"
"TG(18:1(9Z)/26:1(17Z)/15:0)","C62H116O6"
"TG(20:1(11Z)/22:1(13Z)/17:0)","C62H116O6"
"TG(26:1(17Z)/16:1(6Z)/17:0)","C62H116O6"
"TG(19:0/26:1(17Z)/14:1(9Z))","C62H116O6"
"TG(22:2(13Z,16Z)/21:0/16:0)","C62H116O6"
"TG(28:0/16:2(9Z,12Z)/15:0)","C62H116O6"
"TG(15:0/18:1(11E)/26:1(17Z))","C62H116O6"
"TG(17:0/18:1(6Z)/24:1(15Z))","C62H116O6"
"TG(O-18:0/22:2(13Z,16Z)/20:0)","C63H120O5"
"TG(O-26:0/16:1(9Z)/18:1(6Z))","C63H120O5"
"TG(O-26:0/18:1(11Z)/16:1(9Z))","C63H120O5"
"TG(14:0/22:3(10Z,13Z,16Z)/24:5(9Z,12Z,15Z,18Z,21Z))","C63H106O6"
"TG(24:5(9Z,12Z,15Z,18Z,21Z)/22:3(10Z,13Z,16Z)/14:0)","C63H106O6"
"TG(20:4(5Z,8Z,11Z,14Z)/22:2(13Z,16Z)/18:2(9Z,11E))","C63H106O6"
"TG(14:0/24:6(6Z,9Z,12Z,15Z,18Z,21Z)/22:2(13Z,16Z))","C63H106O6"
"TG(20:3(11Z,14Z,17Z)/18:2(9Z,11E)/22:3(10Z,13Z,16Z))","C63H106O6"
"TG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/22:2(13Z,16Z))","C63H106O6"
"TG(22:3(10Z,13Z,16Z)/14:1(9Z)/24:4(9Z,12Z,15Z,18Z))","C63H106O6"
"TG(18:0/22:5(7Z,10Z,13Z,16Z,19Z)/20:3(8Z,11Z,14Z))","C63H106O6"
"TG(18:3(9Z,12Z,15Z)/20:0/22:5(4Z,7Z,10Z,13Z,16Z))","C63H106O6"
"TG(20:4(8Z,11Z,14Z,17Z)/20:3(8Z,11Z,14Z)/20:1(11Z))","C63H106O6"
"TG(24:5(9Z,12Z,15Z,18Z,21Z)/18:2(9Z,11E)/18:1(11E))","C63H106O6"
"TG(20:2(11Z,14Z)/20:5(5Z,8Z,11Z,14Z,17Z)/20:1(11Z))","C63H106O6"
"TG(20:2(11Z,14Z)/20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z))","C63H106O6"
"TG(20:2(11Z,14Z)/18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))","C63H106O6"
"TG(20:2(11Z,14Z)/18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))","C63H106O6"
"TG(22:4(7Z,10Z,13Z,16Z)/18:2(9Z,11E)/20:2(11Z,14Z))","C63H106O6"
"TG(24:4(9Z,12Z,15Z,18Z)/20:3(8Z,11Z,14Z)/16:1(6Z))","C63H106O6"
"TG(24:4(9Z,12Z,15Z,18Z)/22:4(7Z,10Z,13Z,16Z)/14:0)","C63H106O6"
"TG(18:2(9Z,11E)/24:5(9Z,12Z,15Z,18Z,21Z)/18:1(11Z))","C63H106O6"
"TG(18:1(9Z)/18:3(9Z,12Z,15Z)/24:4(9Z,12Z,15Z,18Z))","C63H106O6"
"TG(18:1(9Z)/24:5(6Z,9Z,12Z,15Z,18Z)/18:2(9Z,11E))","C63H106O6"
"TG(22:1(13Z)/18:3(6Z,9Z,12Z)/20:4(5Z,8Z,11Z,14Z))","C63H106O6"
"TG(O-17:0/24:5(6Z,9Z,12Z,15Z,18Z)/20:3(11Z,14Z,17Z))","C64H110O5"
"TG(17:0/24:0/18:1(6Z))","C62H118O6"
"TG(17:0/18:1(6Z)/24:0)","C62H118O6"
"TG(22:0/21:0/16:1(6Z))","C62H118O6"
"TG(28:0/13:0/18:1(11Z))","C62H118O6"
"TG(16:0/22:1(13Z)/21:0)","C62H118O6"
"TG(22:0/18:1(9Z)/19:0)","C62H118O6"
"TG(28:0/18:1(11Z)/13:0)","C62H118O6"
"TG(28:0/17:0/14:1(9Z))","C62H118O6"
"TG(16:0/17:0/26:1(17Z))","C62H118O6"
"TG(24:0/17:0/18:1(11Z))","C62H118O6"
"TG(18:1(11E)/28:0/13:0)","C62H118O6"
"TG(18:1(9Z)/13:0/28:0)","C62H118O6"
"TG(20:1(11Z)/26:0/13:0)","C62H118O6"
"TG(22:1(13Z)/24:0/13:0)","C62H118O6"
"TG(18:1(6Z)/24:0/17:0)","C62H118O6"
"TG(13:0/18:1(9Z)/28:0)","C62H118O6"
"TG(17:0/20:0/22:1(13Z))","C62H118O6"
"TG(17:0/24:0/18:1(11Z))","C62H118O6"
"TG(O-14:0/28:0/18:1(9Z))","C63H122O5"
"TG(O-14:0/18:1(11Z)/28:0)","C63H122O5"
"TG(O-20:0/14:0/26:1(17Z))","C63H122O5"
"TG(O-26:0/16:1(6Z)/18:0)","C63H122O5"
"TG(O-28:0/18:1(11E)/14:0)","C63H122O5"
"TG(22:2(13Z,16Z)/18:1(11Z)/20:4(5Z,8Z,11Z,14Z))","C63H108O6"
"TG(14:0/22:2(13Z,16Z)/24:5(9Z,12Z,15Z,18Z,21Z))","C63H108O6"
"TG(18:0/20:4(8Z,11Z,14Z,17Z)/22:3(10Z,13Z,16Z))","C63H108O6"
"TG(18:3(6Z,9Z,12Z)/20:1(11Z)/22:3(10Z,13Z,16Z))","C63H108O6"
"TG(20:3(8Z,11Z,14Z)/18:1(6Z)/22:3(10Z,13Z,16Z))","C63H108O6"
"TG(22:5(4Z,7Z,10Z,13Z,16Z)/16:0/22:2(13Z,16Z))","C63H108O6"
"TG(16:0/20:2(11Z,14Z)/24:5(6Z,9Z,12Z,15Z,18Z))","C63H108O6"
"TG(20:0/18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C63H108O6"
"TG(20:0/16:1(6Z)/24:6(6Z,9Z,12Z,15Z,18Z,21Z))","C63H108O6"
"TG(20:0/18:1(6Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C63H108O6"
"TG(18:3(9Z,12Z,15Z)/22:4(7Z,10Z,13Z,16Z)/20:0)","C63H108O6"
"TG(20:3(11Z,14Z,17Z)/22:0/18:4(6Z,9Z,12Z,15Z))","C63H108O6"
"TG(20:3(11Z,14Z,17Z)/18:4(6Z,9Z,12Z,15Z)/22:0)","C63H108O6"
"TG(20:4(8Z,11Z,14Z,17Z)/18:3(9Z,12Z,15Z)/22:0)","C63H108O6"
"TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z)/20:0)","C63H108O6"
"TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:1(13Z)/16:0)","C63H108O6"
"TG(16:2(9Z,12Z)/24:5(9Z,12Z,15Z,18Z,21Z)/20:0)","C63H108O6"
"TG(16:2(9Z,12Z)/20:1(11Z)/24:4(9Z,12Z,15Z,18Z))","C63H108O6"
"TG(20:2(11Z,14Z)/20:2(11Z,14Z)/20:3(8Z,11Z,14Z))","C63H108O6"
"TG(24:4(9Z,12Z,15Z,18Z)/18:1(6Z)/18:2(9Z,11E))","C63H108O6"
"TG(18:1(11E)/24:5(9Z,12Z,15Z,18Z,21Z)/18:1(11Z))","C63H108O6"
"TG(20:1(11Z)/18:1(11E)/22:5(4Z,7Z,10Z,13Z,16Z))","C63H108O6"
"TG(20:1(11Z)/20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))","C63H108O6"
"TG(17:0/20:0/22:0)","C62H120O6"
"TG(19:0/14:0/26:0)","C62H120O6"
"TG(28:0/13:0/18:0)","C62H120O6"
"TG(O-28:0/15:0/17:0)","C63H124O5"
"TG(O-28:0/15:0/17:0)","C63H124O5"
"TG(O-16:0/30:0/14:0)","C63H124O5"
"TG(22:3(10Z,13Z,16Z)/18:3(6Z,9Z,12Z)/20:0)","C63H110O6"
"TG(22:3(10Z,13Z,16Z)/18:1(11Z)/20:2(11Z,14Z))","C63H110O6"
"TG(22:3(10Z,13Z,16Z)/22:1(13Z)/16:2(9Z,12Z))","C63H110O6"
"TG(22:3(10Z,13Z,16Z)/18:1(6Z)/20:2(11Z,14Z))","C63H110O6"
"TG(20:1(11Z)/22:2(13Z,16Z)/18:3(6Z,9Z,12Z))","C63H110O6"
"TG(18:0/20:3(8Z,11Z,14Z)/22:3(10Z,13Z,16Z))","C63H110O6"
"TG(18:1(9Z)/20:2(11Z,14Z)/22:3(10Z,13Z,16Z))","C63H110O6"
"TG(17:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/21:0)","C63H110O6"
"TG(22:2(13Z,16Z)/16:1(6Z)/22:3(10Z,13Z,16Z))","C63H110O6"
"TG(16:0/20:1(11Z)/24:5(6Z,9Z,12Z,15Z,18Z))","C63H110O6"
"TG(18:0/18:1(6Z)/24:5(6Z,9Z,12Z,15Z,18Z))","C63H110O6"
"TG(20:0/18:1(6Z)/22:5(4Z,7Z,10Z,13Z,16Z))","C63H110O6"
"TG(22:0/18:2(9Z,11E)/20:4(5Z,8Z,11Z,14Z))","C63H110O6"
"TG(24:0/18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z))","C63H110O6"
"TG(24:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:0)","C63H110O6"
"TG(24:0/18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z))","C63H110O6"
"TG(20:3(11Z,14Z,17Z)/18:3(9Z,12Z,15Z)/22:0)","C63H110O6"
"TG(22:4(7Z,10Z,13Z,16Z)/22:0/16:2(9Z,12Z))","C63H110O6"
"TG(22:4(7Z,10Z,13Z,16Z)/18:1(6Z)/20:1(11Z))","C63H110O6"
"TG(24:5(6Z,9Z,12Z,15Z,18Z)/20:0/16:1(9Z))","C63H110O6"
"TG(16:1(9Z)/26:1(17Z)/18:4(6Z,9Z,12Z,15Z))","C63H110O6"
"TG(18:1(11Z)/18:4(6Z,9Z,12Z,15Z)/24:1(15Z))","C63H110O6"
"TG(18:1(9Z)/18:4(6Z,9Z,12Z,15Z)/24:1(15Z))","C63H110O6"
"TG(18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z)/20:0)","C63H110O6"
"TG(18:1(9Z)/24:4(9Z,12Z,15Z,18Z)/18:1(11Z))","C63H110O6"
"TG(20:1(11Z)/18:1(6Z)/22:4(7Z,10Z,13Z,16Z))","C63H110O6"
"TG(22:1(13Z)/18:1(6Z)/20:4(5Z,8Z,11Z,14Z))","C63H110O6"
"TG(O-18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z)/21:0)","C64H114O5"
"TG(O-13:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/26:0)","C64H114O5"
"TG(O-17:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:0)","C64H114O5"
"TG(15:0/24:6(6Z,9Z,12Z,15Z,18Z,21Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C64H100O6"
"TG(15:0/24:6(6Z,9Z,12Z,15Z,18Z,21Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C64H100O6"
"TG(O-18:2(9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z)/22:5(4Z,7Z,10Z,13Z,16Z))","C65H104O5"
"TG(19:0/24:5(6Z,9Z,12Z,15Z,18Z)/17:0)","C63H112O6"
"TG(22:2(13Z,16Z)/18:3(9Z,12Z,15Z)/20:0)","C63H112O6"
"TG(22:2(13Z,16Z)/20:2(11Z,14Z)/18:1(9Z))","C63H112O6"
"TG(22:3(10Z,13Z,16Z)/18:2(9Z,12Z)/20:0)","C63H112O6"
"TG(20:0/22:2(13Z,16Z)/18:3(6Z,9Z,12Z))","C63H112O6"
"TG(28:0/14:1(9Z)/18:4(6Z,9Z,12Z,15Z))","C63H112O6"
"TG(20:1(11Z)/22:2(13Z,16Z)/18:2(9Z,11E))","C63H112O6"
"TG(20:1(11Z)/22:3(10Z,13Z,16Z)/18:1(11E))","C63H112O6"
"TG(17:0/21:0/22:5(7Z,10Z,13Z,16Z,19Z))","C63H112O6"
"TG(16:2(9Z,12Z)/22:1(13Z)/22:2(13Z,16Z))","C63H112O6"
"TG(15:0/24:5(6Z,9Z,12Z,15Z,18Z)/21:0)","C63H112O6"
"TG(24:1(15Z)/22:3(10Z,13Z,16Z)/14:1(9Z))","C63H112O6"
"TG(12:0/24:0/24:5(9Z,12Z,15Z,18Z,21Z))","C63H112O6"
"TG(20:0/24:4(9Z,12Z,15Z,18Z)/16:1(9Z))","C63H112O6"
"TG(22:0/22:4(7Z,10Z,13Z,16Z)/16:1(6Z))","C63H112O6"
"TG(24:0/18:1(11Z)/18:4(6Z,9Z,12Z,15Z))","C63H112O6"
"TG(20:3(11Z,14Z,17Z)/22:0/18:2(9Z,12Z))","C63H112O6"
"TG(20:5(5Z,8Z,11Z,14Z,17Z)/28:0/12:0)","C63H112O6"
"TG(18:2(9Z,12Z)/18:2(9Z,12Z)/24:1(15Z))","C63H112O6"
"TG(18:3(6Z,9Z,12Z)/16:2(9Z,12Z)/26:0)","C63H112O6"
"TG(22:5(4Z,7Z,10Z,13Z,16Z)/16:0/22:0)","C63H112O6"
"TG(24:5(6Z,9Z,12Z,15Z,18Z)/16:0/20:0)","C63H112O6"
"TG(18:1(11E)/20:0/22:4(7Z,10Z,13Z,16Z))","C63H112O6"
"TG(18:1(11E)/24:1(15Z)/18:3(6Z,9Z,12Z))","C63H112O6"
"TG(22:1(13Z)/24:4(9Z,12Z,15Z,18Z)/14:0)","C63H112O6"
"TG(24:1(15Z)/14:0/22:4(7Z,10Z,13Z,16Z))","C63H112O6"
"TG(24:1(15Z)/18:1(6Z)/18:3(9Z,12Z,15Z))","C63H112O6"
"TG(26:1(17Z)/16:1(6Z)/18:3(9Z,12Z,15Z))","C63H112O6"
"TG(18:1(6Z)/20:4(8Z,11Z,14Z,17Z)/22:0)","C63H112O6"
"TG(O-18:0/19:0/24:5(6Z,9Z,12Z,15Z,18Z))","C64H116O5"
"TG(O-18:1(11Z)/19:0/24:4(9Z,12Z,15Z,18Z))","C64H116O5"
"TG(O-17:0/20:0/24:5(6Z,9Z,12Z,15Z,18Z))","C64H116O5"
"TG(O-24:0/20:5(5Z,8Z,11Z,14Z,17Z)/17:0)","C64H116O5"
"TG(17:0/20:5(5Z,8Z,11Z,14Z,17Z)/24:6(6Z,9Z,12Z,15Z,18Z,21Z))","C64H102O6"
"TG(24:5(9Z,12Z,15Z,18Z,21Z)/13:0/24:6(6Z,9Z,12Z,15Z,18Z,21Z))","C64H102O6"
"TG(24:6(6Z,9Z,12Z,15Z,18Z,21Z)/15:0/22:5(7Z,10Z,13Z,16Z,19Z))","C64H102O6"
"TG(O-18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z)/24:5(9Z,12Z,15Z,18Z,21Z))","C65H106O5"
"TG(O-20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z))","C65H106O5"
"TG(22:3(10Z,13Z,16Z)/22:0/16:1(9Z))","C63H114O6"
"TG(18:1(11Z)/22:3(10Z,13Z,16Z)/20:0)","C63H114O6"
"TG(26:1(17Z)/14:1(9Z)/20:2(11Z,14Z))","C63H114O6"
"TG(20:1(11Z)/18:1(11Z)/22:2(13Z,16Z))","C63H114O6"
"TG(21:0/21:0/18:4(6Z,9Z,12Z,15Z))","C63H114O6"
"TG(22:0/20:3(8Z,11Z,14Z)/18:1(11Z))","C63H114O6"
"TG(22:0/20:3(8Z,11Z,14Z)/18:1(6Z))","C63H114O6"
"TG(22:0/18:1(9Z)/20:3(8Z,11Z,14Z))","C63H114O6"
"TG(22:0/20:1(11Z)/18:3(9Z,12Z,15Z))","C63H114O6"
"TG(20:3(11Z,14Z,17Z)/22:0/18:1(11E))","C63H114O6"
"TG(18:4(6Z,9Z,12Z,15Z)/16:0/26:0)","C63H114O6"
"TG(18:2(9Z,12Z)/24:1(15Z)/18:1(9Z))","C63H114O6"
"TG(20:2(11Z,14Z)/18:1(11E)/22:1(13Z))","C63H114O6"
"TG(18:2(9Z,11E)/16:1(6Z)/26:1(17Z))","C63H114O6"
"TG(18:1(11Z)/22:0/20:3(11Z,14Z,17Z))","C63H114O6"
"TG(20:1(11Z)/16:2(9Z,12Z)/24:1(15Z))","C63H114O6"
"TG(20:1(11Z)/22:1(13Z)/18:2(9Z,12Z))","C63H114O6"
"TG(22:1(13Z)/18:0/20:3(11Z,14Z,17Z))","C63H114O6"
"TG(22:1(13Z)/20:3(8Z,11Z,14Z)/18:0)","C63H114O6"
"TG(26:1(17Z)/16:0/18:3(6Z,9Z,12Z))","C63H114O6"
"TG(17:0/20:4(8Z,11Z,14Z,17Z)/24:6(6Z,9Z,12Z,15Z,18Z,21Z))","C64H104O6"
"TG(22:5(7Z,10Z,13Z,16Z,19Z)/15:0/24:5(9Z,12Z,15Z,18Z,21Z))","C64H104O6"
